INDEX,ZONE_CODE,ZONE_NAME,FY,AGE_CAT,GENDER,INC_RT,MET
254,Z2,CALGARY,2018,0 to 18,M,37.2,yes
255,Z2,CALGARY,2018,18 to 64,F,40.1,yes
256,Z2,CALGARY,2018,18 to 64,M,27.8,yes
257,Z2,CALGARY,2018,65 and over,F,14.1,yes
258,Z2,CALGARY,2018,65 and over,M,19.8,yes
259,Z2,CALGARY,2019,0 to 18,F,72.1,yes
260,Z2,CALGARY,2019,0 to 18,M,31.8,yes
261,Z2,CALGARY,2019,18 to 64,F,50.7,yes
262,Z2,CALGARY,2019,18 to 64,M,26,yes
263,Z2,CALGARY,2019,65 and over,F,26.8,yes
264,Z2,CALGARY,2019,65 and over,M,17.7,yes
265,Z2,CALGARY,2020,0 to 18,F,87.5,yes
266,Z2,CALGARY,2020,0 to 18,M,47.3,yes
267,Z2,CALGARY,2020,18 to 64,F,56.3,yes
268,Z2,CALGARY,2020,18 to 64,M,31.9,yes
269,Z2,CALGARY,2020,65 and over,F,23.8,yes
270,Z2,CALGARY,2020,65 and over,M,12.7,yes
271,Z3,CENTRAL,2016,0 to 18,F,46.8,no
272,Z3,CENTRAL,2016,0 to 18,M,24,no
273,Z3,CENTRAL,2016,18 to 64,F,40.2,no
274,Z3,CENTRAL,2016,18 to 64,M,23.3,no
275,Z3,CENTRAL,2016,65 and over,F,0,no
276,Z3,CENTRAL,2016,65 and over,M,0,no
277,Z3,CENTRAL,2017,0 to 18,F,41,no
278,Z3,CENTRAL,2017,0 to 18,M,29.6,no
279,Z3,CENTRAL,2017,18 to 64,F,30.1,no
280,Z3,CENTRAL,2017,18 to 64,M,16.9,no
281,Z3,CENTRAL,2017,65 and over,F,28.9,no
282,Z3,CENTRAL,2017,65 and over,M,0,no
283,Z3,CENTRAL,2018,0 to 18,F,54.8,no
284,Z3,CENTRAL,2018,0 to 18,M,20.4,no
285,Z3,CENTRAL,2018,18 to 64,F,36.9,no
286,Z3,CENTRAL,2018,18 to 64,M,22.2,no
287,Z3,CENTRAL,2018,65 and over,F,0,no
288,Z3,CENTRAL,2018,65 and over,M,0,no
289,Z3,CENTRAL,2019,0 to 18,F,58.6,no
290,Z3,CENTRAL,2019,0 to 18,M,18.5,no
291,Z3,CENTRAL,2019,18 to 64,F,40.3,no
292,Z3,CENTRAL,2019,18 to 64,M,18.3,no
293,Z3,CENTRAL,2019,65 and over,F,0,no
294,Z3,CENTRAL,2019,65 and over,M,0,no
295,Z3,CENTRAL,2020,0 to 18,F,62.4,no
296,Z3,CENTRAL,2020,0 to 18,M,35.1,no
297,Z3,CENTRAL,2020,18 to 64,F,40.3,no
298,Z3,CENTRAL,2020,18 to 64,M,30.7,no
299,Z3,CENTRAL,2020,65 and over,F,0,no
300,Z3,CENTRAL,2020,65 and over,M,0,no
301,Z4,EDMONTON,2016,0 to 18,F,53.5,yes
302,Z4,EDMONTON,2016,0 to 18,M,29.6,yes
303,Z4,EDMONTON,2016,18 to 64,F,42.7,yes
304,Z4,EDMONTON,2016,18 to 64,M,20.4,yes
305,Z4,EDMONTON,2016,65 and over,F,26.9,yes
306,Z4,EDMONTON,2016,65 and over,M,20.4,yes
307,Z4,EDMONTON,2017,0 to 18,F,52.7,yes
308,Z4,EDMONTON,2017,0 to 18,M,38.2,yes
309,Z4,EDMONTON,2017,18 to 64,F,47,yes
310,Z4,EDMONTON,2017,18 to 64,M,23.7,yes
311,Z4,EDMONTON,2017,65 and over,F,15.1,yes
312,Z4,EDMONTON,2017,65 and over,M,15.6,yes
313,Z4,EDMONTON,2018,0 to 18,F,73,yes
314,Z4,EDMONTON,2018,0 to 18,M,38.8,yes
315,Z4,EDMONTON,2018,18 to 64,F,50.3,yes
316,Z4,EDMONTON,2018,18 to 64,M,20.5,yes
317,Z4,EDMONTON,2018,65 and over,F,18.6,yes
318,Z4,EDMONTON,2018,65 and over,M,14.9,yes
319,Z4,EDMONTON,2019,0 to 18,F,70.4,yes
320,Z4,EDMONTON,2019,0 to 18,M,38.1,yes
321,Z4,EDMONTON,2019,18 to 64,F,49.3,yes
322,Z4,EDMONTON,2019,18 to 64,M,27.1,yes
323,Z4,EDMONTON,2019,65 and over,F,27.7,yes
324,Z4,EDMONTON,2019,65 and over,M,16.6,yes
325,Z4,EDMONTON,2020,0 to 18,F,70.6,yes
326,Z4,EDMONTON,2020,0 to 18,M,41.9,yes
327,Z4,EDMONTON,2020,18 to 64,F,51.1,yes
328,Z4,EDMONTON,2020,18 to 64,M,26.1,yes
329,Z4,EDMONTON,2020,65 and over,F,19,yes
330,Z4,EDMONTON,2020,65 and over,M,22.6,yes
331,Z5,NORTH,2016,0 to 18,F,44,no
332,Z5,NORTH,2016,0 to 18,M,20.1,no
333,Z5,NORTH,2016,18 to 64,F,25.9,no
334,Z5,NORTH,2016,18 to 64,M,17.1,no
335,Z5,NORTH,2016,65 and over,F,0,no
336,Z5,NORTH,2016,65 and over,M,0,no
337,Z5,NORTH,2017,0 to 18,F,38.8,no
338,Z5,NORTH,2017,0 to 18,M,30.1,no
339,Z5,NORTH,2017,18 to 64,F,38.2,no
340,Z5,NORTH,2017,18 to 64,M,12.6,no
341,Z5,NORTH,2017,65 and over,F,0,no
342,Z5,NORTH,2017,65 and over,M,0,no
343,Z5,NORTH,2018,0 to 18,F,37.1,no
344,Z5,NORTH,2018,0 to 18,M,23.4,no
345,Z5,NORTH,2018,18 to 64,F,37.5,no
346,Z5,NORTH,2018,18 to 64,M,15,no
347,Z5,NORTH,2018,65 and over,F,0,no
348,Z5,NORTH,2018,65 and over,M,0,no
349,Z5,NORTH,2019,0 to 18,F,42.3,no
350,Z5,NORTH,2019,0 to 18,M,20.1,no
351,Z5,NORTH,2019,18 to 64,F,38.2,no
352,Z5,NORTH,2019,18 to 64,M,15,no
353,Z5,NORTH,2019,65 and over,F,0,no
354,Z5,NORTH,2019,65 and over,M,0,no
355,Z5,NORTH,2020,0 to 18,F,70.4,no
356,Z5,NORTH,2020,0 to 18,M,30.1,no
357,Z5,NORTH,2020,18 to 64,F,29.4,no
358,Z5,NORTH,2020,18 to 64,M,19.2,no
359,Z5,NORTH,2020,65 and over,F,0,no
360,Z5,NORTH,2020,65 and over,M,0,no
