ZONE_CODE,ZONE_NAME,FY,AGE_CAT,GENDER,INC_RT,lower95,upper95
Z2,CALGARY,2019,All,M,26.3,22.9,29.8
Z2,CALGARY,2020,All,F,58.3,53.1,63.4
Z2,CALGARY,2020,All,M,33.0,29.1,36.8
Z3,CENTRAL,2016,All,F,38.3,30.4,46.2
Z3,CENTRAL,2016,All,M,22.8,16.8,28.9
Z3,CENTRAL,2017,All,F,32.3,25.0,39.5
Z3,CENTRAL,2017,All,M,20.4,14.7,26.0
Z3,CENTRAL,2018,All,F,37.1,29.4,44.9
Z3,CENTRAL,2018,All,M,21.1,15.3,26.9
Z3,CENTRAL,2019,All,F,39.4,31.5,47.4
Z3,CENTRAL,2019,All,M,16.5,11.4,21.6
Z3,CENTRAL,2020,All,F,41.7,33.5,49.8
Z3,CENTRAL,2020,All,M,30.7,23.7,37.6
Z4,EDMONTON,2016,All,F,42.8,37.9,47.8
Z4,EDMONTON,2016,All,M,22.4,18.8,25.9
Z4,EDMONTON,2017,All,F,43.9,38.9,48.8
Z4,EDMONTON,2017,All,M,25.9,22.1,29.7
Z4,EDMONTON,2018,All,F,50.6,45.3,55.9
Z4,EDMONTON,2018,All,M,23.8,20.2,27.4
Z4,EDMONTON,2019,All,F,50.6,45.3,55.9
Z4,EDMONTON,2019,All,M,28.2,24.3,32.1
Z4,EDMONTON,2020,All,F,50.4,45.2,55.6
Z4,EDMONTON,2020,All,M,29.1,25.1,33.0
Z5,NORTH,2016,All,F,29.0,22.1,36.0
Z5,NORTH,2016,All,M,17.5,12.3,22.6
Z5,NORTH,2017,All,F,36.5,28.7,44.3
Z5,NORTH,2017,All,M,16.0,11.0,20.9
Z5,NORTH,2018,All,F,35.5,27.8,43.2
Z5,NORTH,2018,All,M,16.0,11.0,20.9
Z5,NORTH,2019,All,F,37.9,30.0,45.8
Z5,NORTH,2019,All,M,15.5,10.6,20.3
Z5,NORTH,2020,All,F,38.1,30.2,46.0
Z5,NORTH,2020,All,M,20.9,15.3,26.5
Z1,SOUTH,All,0 to 18,F,65.2,53.1,77.3
Z1,SOUTH,All,0 to 18,M,34.1,25.6,42.6
Z1,SOUTH,All,18 to 64,F,47.4,41.1,53.7
Z1,SOUTH,All,18 to 64,M,21.0,16.8,25.1
Z1,SOUTH,All,65 and over,F,8.4,3.4,13.4
Z1,SOUTH,All,65 and over,M,9.1,3.4,14.7
Z2,CALGARY,All,0 to 18,F,62.5,57.2,67.8
Z2,CALGARY,All,0 to 18,M,36.2,32.3,40.1
Z2,CALGARY,All,18 to 64,F,48.7,46.0,51.3
Z2,CALGARY,All,18 to 64,M,27.2,25.3,29.1
Z2,CALGARY,All,65 and over,F,22.3,18.3,26.3
Z2,CALGARY,All,65 and over,M,15.5,11.9,19.1
Z3,CENTRAL,All,0 to 18,F,52.7,43.8,61.6
Z3,CENTRAL,All,0 to 18,M,25.5,19.5,31.6
Z3,CENTRAL,All,18 to 64,F,37.6,33.1,42.0
Z3,CENTRAL,All,18 to 64,M,22.3,18.9,25.6
Z3,CENTRAL,All,65 and over,F,19.2,13.1,25.3
Z3,CENTRAL,All,65 and over,M,17.4,11.2,23.6
Z4,EDMONTON,All,0 to 18,F,64.3,58.4,70.1
Z4,EDMONTON,All,0 to 18,M,37.4,33.1,41.8
Z4,EDMONTON,All,18 to 64,F,48.1,45.2,51.0
Z4,EDMONTON,All,18 to 64,M,23.6,21.6,25.5
Z4,EDMONTON,All,65 and over,F,21.4,17.3,25.5
Z4,EDMONTON,All,65 and over,M,18.1,13.9,22.2
Z5,NORTH,All,0 to 18,F,46.5,38.6,54.4
