index,country,name,hosp_type,disease_type,year_rate,rate,AAPC,direction,popup,appendixF_popup
10,Canada,Alberta,all,UC,2018,51.27,3.29,increase,"<p style=""""font-size: 125%"""">Data on UC hospitalizations come from Buie 2022 (Temporal Trends in IBD Hospitalization rates from 2002 to 2018 in Alberta, Canada: A Population-Based Cohort Study.) which provides rates for primary and all cause discharges between 2002–2018. In 2018, the all cause hospitalization rate for UC was 51.27/100,000 which  significantly increased from 28.71/100,000 in 2002 (AAPC: 3.29; 95% CI: 2.94, 3.63) (Buie 2022). Additionally, in 2015, the hospitalization rate for secondary UC discharges was 17.44/100,000, which had not significantly decreased from 20.49/100,000 in 2002 (AAPC: -0.66; 95% CI: -1.36, 0.05) (<a href='https://prism.ucalgary.ca/handle/1880/110486' target='_blank'>Coward 2019</a>).</p>",
11,Canada,Ontario,prim,CD,2014,30.96,-0.27,stable,"<p style=""""font-size: 125%"""">Data on CD hospitalizations come from <a href='https://onlinelibrary.wiley.com/doi/10.1111/apt.15511' target='_blank'>Rahman 2019</a>, which provides rates for primary discharges in the province of Ontario spanning 2003-2014. In 2014, the hospitalization rate for primary CD discharges was 30.96/100,000, which was not significantly different from 33.19/100,000 in 2003 (AAPC: -0.27; 95% CI: -0.73, 0.18).</p>","<p style=""font-size: 125%"">Data on CD hospitalizations come from <a href='https://onlinelibrary.wiley.com/doi/10.1111/apt.15511' target='_blank'>Rahman 2019</a>, which provides rates for primary discharges in the province of Ontario spanning 2003-2014. In 2014, the hospitalization rate for primary CD discharges was 10.48/100 CD patients which was significantly lower than 15.47/100 CD patients in 2003 (AAPC: -3.35; 95% CI: -3.59, -3.11).</p>"
12,Chile,Chile,prim,IBD,2012,8.64,4.5,increase,"<p style=""""font-size: 125%""""><a href='https://link.springer.com/article/10.1007/s10620-017-4660-5' target='_blank'>Bellolio 2017</a> reported significantly increasing primary hospitalization rates between 2001 (5.25/100,000) and 2012 (8.64/100,000) (AAPC: 4.50; 95% CI: 3.75, 5.26).</p>",
12,Chile,Chile,prim,CD,2012,3.11,6.07,increase,"<p style=""""font-size: 125%"""">Data on CD hospitalizations come from <a href='https://link.springer.com/article/10.1007/s10620-017-4660-5' target='_blank'>Bellolio 2017</a>, which provides primary hospitalization rates spanning 2001-2012. In 2012 the rate was 3.11/100,000 which was significanly higher than 1.68/100,000 in 2001 (AAPC: 6.07; 95% CI: 4.53, 7.63). The same results can also be found in <a href='https://www.tandfonline.com/doi/abs/10.1080/00365521.2017.1307444?journalCode=igas20' target='_blank'>Jaime 2017</a>.</p>",
12,Chile,Chile,prim,UC,2012,5.53,3.81,increase,"<p style=""""font-size: 125%"""">Data on UC hospitalizations come from <a href='https://link.springer.com/article/10.1007/s10620-017-4660-5' target='_blank'>Bellolio 2017</a>, which provides primary hospitalization rates spanning 2001-2012. In 2012 the rate was 5.53/100,000 which was significanly higher than 3.58/100,000 in 2001 (AAPC: 3.81; 95% CI: 2.66, 4.99). The same results can also be found in  <a href='https://www.tandfonline.com/doi/abs/10.1080/00365521.2017.1307444?journalCode=igas20' target='_blank'>Jaime 2017</a>.</p>",
12,Chile,Chile,not,IBD,2014,11.4,5.01,increase,"<p style=""""font-size: 125%"""">Data on IBD hospitalizations come from the OECD (<a href='https://www.sciencedirect.com/science/article/abs/pii/S2468125319300135?via%3Dihub' target='_blank'>King 2019</a>), which provides rates for unspecified discharges spanning 2001–2014. In 2014, the hospitalization rate for IBD was 11.4/100,000, which had significantly increased from 5.3/100,000 in 2001 (AAPC: 5.01; 95% CI: 4.49, 5.54).</p>",
13,China,Hong Kong,all,CD,2014,116,8.67,increase,"<p style=""""font-size: 125%"""">Data on hospitalization rates for CD come from <a href='https://onlinelibrary.wiley.com/doi/10.1111/jgh.14377' target='_blank'>Chan 2019</a>, which provides rates for secondary discharges spanning 2005–2014. In 2014, the hospitalization rate was 116/100,000, which had significantly increased from 51/100,000 in 2005 (AAPC: 8.67; 95% CI: 5.81, 11.61).</p>",
13,China,Hong Kong,all,UC,2014,39,0.14,stable,"<p style=""""font-size: 125%"""">Data on hospitalization rates for UC come from <a href='https://onlinelibrary.wiley.com/doi/10.1111/jgh.14377' target='_blank'>Chan 2019</a>, which provides rates for secondary discharges spanning 2005–2014. In 2014, the hospitalization rate was 39/100,000, which had not significantly increased from 32/100,000 in 2005 (AAPC: 0.14; 95% CI: -2.21, 2.53).</p>",
14,China,Shanghai,prim,IBD,2011,1.53,16.44,increase,"<p style=""""font-size: 125%"""">Data on IBD hospitalizations come from <a href='https://www.hindawi.com/journals/grp/2013/267630/' target='_blank'>Xu 2013</a>, which provides rates for primary discharges in Shanghai spanning 2003–2011. In 2011, the hospitalization rate for IBD was 1.53/100,000, which had significantly increased from 0.64/100,000 in 2003 (AAPC: 16.44; 95% CI: 11.84, 21.23).</p>",
15,Czech Republic,Czech Rep.,prim,IBD,2015,53.83,2.52,increase,"<p style=""""font-size: 125%"""">Data on IBD hospitalizations come from the OECD (<a href='https://www.sciencedirect.com/science/article/abs/pii/S2468125319300135?via%3Dihub' target='_blank'>King 2019</a>), which provides rates for primary discharges spanning 2000–2015. In 2015, the hospitalization rate for IBD was 43.6/100,000, which had significantly increased from 33.8/100,000 in 2000 (AAPC: 1.90; 95% CI: 1.25, 2.56). <a href='https://www.csgh.info/cs/intro' target='_blank'>Jarkovsky 2017</a> also provides data on primary IBD hospitalizations spanning 2007 (48.11/100,000) to 2015 (53.83/100,000), which also represents a significant increase (AAPC: 2.52; 95% CI: 1.55, 3.48).</p>","<p style=""font-size: 125%"">Data on IBD hospitalizations come from <a href='https://www.csgh.info/cs/intro' target='_blank'>Jarkovsky 2017</a>, which provides rates for primary discharges spanning 2007_2015. In 2015, the hospitalization rate for IBD was 12.18/100 IBD patients, which had significantly decreased from 14.31/100 IBD patients in 2007 (AAPC: -1.11; 95% CI: -2.15, -0.06).<br><br>

Data on CD hospitalizations come from <a href='https://www.csgh.info/cs/intro' target='_blank'>Jarkovsky 2017</a>, which provides rates for primary discharges spanning 2007_2015. In 2015, the hospitalization rate for CD was 17.84/100 CD patients, which had significantly decreased from 21.88/100 CD patients in 2007 (AAPC: -1.37; 95% CI: -2.57, -0.15).<br><br>

Data on UC hospitalizations come from <a href='https://www.csgh.info/cs/intro' target='_blank'>Jarkovsky 2017</a>, which provides rates for primary discharges spanning 2007_2015. In 2015, the hospitalization rate for UC was 7.25/100 UC patients, which had significantly decreased from 8.90/100 UC patients in 2007 (AAPC: -2.20; 95% CI: -3.27, -1.11).</p>"
