ZONE_CODE,ZONE_NAME,FY,AGE_CAT,GENDER,INC_RT
Z1,SOUTH,2016,65 and over,F,0.0
Z1,SOUTH,2016,65 and over,M,0.0
Z1,SOUTH,2017,0 to 18,F,58.3
Z1,SOUTH,2017,0 to 18,M,0.0
Z1,SOUTH,2017,18 to 64,F,49.0
Z1,SOUTH,2017,18 to 64,M,19.9
Z1,SOUTH,2017,65 and over,F,0.0
Z1,SOUTH,2017,65 and over,M,0.0
Z1,SOUTH,2018,0 to 18,F,95.8
Z1,SOUTH,2018,0 to 18,M,33.0
Z1,SOUTH,2018,18 to 64,F,39.1
Z1,SOUTH,2018,18 to 64,M,26.2
Z1,SOUTH,2018,65 and over,F,0.0
Z1,SOUTH,2018,65 and over,M,0.0
Z1,SOUTH,2019,0 to 18,F,55.2
Z1,SOUTH,2019,0 to 18,M,54.8
Z1,SOUTH,2019,18 to 64,F,66.2
Z1,SOUTH,2019,18 to 64,M,17.8
Z1,SOUTH,2019,65 and over,F,0.0
Z1,SOUTH,2019,65 and over,M,0.0
Z1,SOUTH,2020,0 to 18,F,75.3
Z1,SOUTH,2020,0 to 18,M,35.5
Z1,SOUTH,2020,18 to 64,F,48.8
Z1,SOUTH,2020,18 to 64,M,28.3
Z1,SOUTH,2020,65 and over,F,0.0
Z1,SOUTH,2020,65 and over,M,0.0
Z2,CALGARY,2016,0 to 18,F,51.0
Z2,CALGARY,2016,0 to 18,M,34.0
Z2,CALGARY,2016,18 to 64,F,46.0
Z2,CALGARY,2016,18 to 64,M,25.6
Z2,CALGARY,2016,65 and over,F,22.8
Z2,CALGARY,2016,65 and over,M,14.7
Z2,CALGARY,2017,0 to 18,F,53.0
Z2,CALGARY,2017,0 to 18,M,30.1
Z2,CALGARY,2017,18 to 64,F,49.9
Z2,CALGARY,2017,18 to 64,M,24.7
Z2,CALGARY,2017,65 and over,F,23.7
Z2,CALGARY,2017,65 and over,M,12.8
Z2,CALGARY,2018,0 to 18,F,47.6
Z2,CALGARY,2018,0 to 18,M,37.2
Z2,CALGARY,2018,18 to 64,F,40.1
Z2,CALGARY,2018,18 to 64,M,27.8
Z2,CALGARY,2018,65 and over,F,14.1
Z2,CALGARY,2018,65 and over,M,19.8
Z2,CALGARY,2019,0 to 18,F,72.1
Z2,CALGARY,2019,0 to 18,M,31.8
Z2,CALGARY,2019,18 to 64,F,50.7
Z2,CALGARY,2019,18 to 64,M,26.0
Z2,CALGARY,2019,65 and over,F,26.8
Z2,CALGARY,2019,65 and over,M,17.7
Z2,CALGARY,2020,0 to 18,F,87.5
Z2,CALGARY,2020,0 to 18,M,47.3
Z2,CALGARY,2020,18 to 64,F,56.3
Z2,CALGARY,2020,18 to 64,M,31.9
Z2,CALGARY,2020,65 and over,F,23.8
Z2,CALGARY,2020,65 and over,M,12.7
Z3,CENTRAL,2016,0 to 18,F,46.8
Z3,CENTRAL,2016,0 to 18,M,24.0
Z3,CENTRAL,2016,18 to 64,F,40.2
Z3,CENTRAL,2016,18 to 64,M,23.3
Z3,CENTRAL,2016,65 and over,F,0.0
Z3,CENTRAL,2016,65 and over,M,0.0
Z3,CENTRAL,2017,0 to 18,F,41.0
Z3,CENTRAL,2017,0 to 18,M,29.6
Z3,CENTRAL,2017,18 to 64,F,30.1
Z3,CENTRAL,2017,18 to 64,M,16.9
Z3,CENTRAL,2017,65 and over,F,28.9
Z3,CENTRAL,2017,65 and over,M,0.0
Z3,CENTRAL,2018,0 to 18,F,54.8
Z3,CENTRAL,2018,0 to 18,M,20.4
Z3,CENTRAL,2018,18 to 64,F,36.9
Z3,CENTRAL,2018,18 to 64,M,22.2
Z3,CENTRAL,2018,65 and over,F,0.0
Z3,CENTRAL,2018,65 and over,M,0.0
Z3,CENTRAL,2019,0 to 18,F,58.6
Z3,CENTRAL,2019,0 to 18,M,18.5
Z3,CENTRAL,2019,18 to 64,F,40.3
Z3,CENTRAL,2019,18 to 64,M,18.3
Z3,CENTRAL,2019,65 and over,F,0.0
Z3,CENTRAL,2019,65 and over,M,0.0
Z3,CENTRAL,2020,0 to 18,F,62.4
Z3,CENTRAL,2020,0 to 18,M,35.1
Z3,CENTRAL,2020,18 to 64,F,40.3
Z3,CENTRAL,2020,18 to 64,M,30.7
Z3,CENTRAL,2020,65 and over,F,0.0
Z3,CENTRAL,2020,65 and over,M,0.0
Z4,EDMONTON,2016,0 to 18,F,53.5
Z4,EDMONTON,2016,0 to 18,M,29.6
Z4,EDMONTON,2016,18 to 64,F,42.7
Z4,EDMONTON,2016,18 to 64,M,20.4
Z4,EDMONTON,2016,65 and over,F,26.9
Z4,EDMONTON,2016,65 and over,M,20.4
Z4,EDMONTON,2017,0 to 18,F,52.7
Z4,EDMONTON,2017,0 to 18,M,38.2
Z4,EDMONTON,2017,18 to 64,F,47.0
Z4,EDMONTON,2017,18 to 64,M,23.7
Z4,EDMONTON,2017,65 and over,F,15.1
Z4,EDMONTON,2017,65 and over,M,15.6
Z4,EDMONTON,2018,0 to 18,F,73.0
Z4,EDMONTON,2018,0 to 18,M,38.8
Z4,EDMONTON,2018,18 to 64,F,50.3
Z4,EDMONTON,2018,18 to 64,M,20.5
Z4,EDMONTON,2018,65 and over,F,18.6
Z4,EDMONTON,2018,65 and over,M,14.9
Z4,EDMONTON,2019,0 to 18,F,70.4
Z4,EDMONTON,2019,0 to 18,M,38.1
Z4,EDMONTON,2019,18 to 64,F,49.3
Z4,EDMONTON,2019,18 to 64,M,27.1
Z4,EDMONTON,2019,65 and over,F,27.7
Z4,EDMONTON,2019,65 and over,M,16.6
Z4,EDMONTON,2020,0 to 18,F,70.6
Z4,EDMONTON,2020,0 to 18,M,41.9
Z4,EDMONTON,2020,18 to 64,F,51.1
Z4,EDMONTON,2020,18 to 64,M,26.1
Z4,EDMONTON,2020,65 and over,F,19.0
Z4,EDMONTON,2020,65 and over,M,22.6
Z5,NORTH,2016,0 to 18,F,44.0
Z5,NORTH,2016,0 to 18,M,20.1
Z5,NORTH,2016,18 to 64,F,25.9
Z5,NORTH,2016,18 to 64,M,17.1
Z5,NORTH,2016,65 and over,F,0.0
Z5,NORTH,2016,65 and over,M,0.0
Z5,NORTH,2017,0 to 18,F,38.8
Z5,NORTH,2017,0 to 18,M,30.1
Z5,NORTH,2017,18 to 64,F,38.2
Z5,NORTH,2017,18 to 64,M,12.6
Z5,NORTH,2017,65 and over,F,0.0
Z5,NORTH,2017,65 and over,M,0.0
Z5,NORTH,2018,0 to 18,F,37.1
Z5,NORTH,2018,0 to 18,M,23.4
Z5,NORTH,2018,18 to 64,F,37.5
Z5,NORTH,2018,18 to 64,M,15.0
Z5,NORTH,2018,65 and over,F,0.0
Z5,NORTH,2018,65 and over,M,0.0
Z5,NORTH,2019,0 to 18,F,42.3
Z5,NORTH,2019,0 to 18,M,20.1
Z5,NORTH,2019,18 to 64,F,38.2
Z5,NORTH,2019,18 to 64,M,15.0
Z5,NORTH,2019,65 and over,F,0.0
Z5,NORTH,2019,65 and over,M,0.0
Z5,NORTH,2020,0 to 18,F,70.4
Z5,NORTH,2020,0 to 18,M,30.1
Z5,NORTH,2020,18 to 64,F,29.4
Z5,NORTH,2020,18 to 64,M,19.2
Z5,NORTH,2020,65 and over,F,0.0
Z5,NORTH,2020,65 and over,M,0.0
